train_data,train_labels
Faites-vous des plats pour les personnes allergiques aux fruits à coque ?,"Nous prenons en compte les allergies alimentaires, y compris les allergies aux fruits à coque, et pouvons adapter nos plats en conséquence."
Quelle est votre politique de retour pour les plats commandés à emporter ?,"Si vous rencontrez un problème avec votre commande à emporter, veuillez nous contacter dans les 30 minutes suivant la réception pour discuter des solutions possibles."
Avez-vous des options de plats pour les végétaliens ?,"Oui, nous avons des plats spécialement conçus pour les végétaliens, sans aucun produit d'origine animale."
Est-ce que vous servez des cocktails sans alcool ?,"Oui, nous avons une gamme de cocktails sans alcool rafraîchissants et savoureux."
Quels sont vos plats les plus sains ?," Nos salades fraîches, nos plats de poisson grillé et nos options végétariennes sont parmi nos plats les plus sains."
Avez-vous des recommandations de vins pour accompagner les plats ?,"Oui, notre équipe peut vous recommander des vins qui se marient bien avec nos plats. N'hésitez pas à demander des conseils."
Est-ce que vous proposez des options de plats pour les personnes souffrant d'allergies au lactose ?,"Oui, nous pouvons adapter certains plats pour les personnes souffrant d'allergies au lactose."
Quelle est la politique de remboursement en cas d'insatisfaction avec un plat ?,"Si vous n'êtes pas satisfait de votre plat, veuillez nous en informer immédiatement pour discuter des solutions possibles, comme un remplacement ou un remboursement partiel."
Avez-vous des plats à base de produits locaux ?,"Oui, nous utilisons des produits locaux et de saison dans certains de nos plats pour soutenir les producteurs locaux et garantir la fraîcheur des ingrédients."
Est-ce que vous proposez des menus pour les groupes ou les événements d'entreprise ?,"Oui, nous avons des menus spéciaux pour les groupes et les événements d'entreprise. Contactez-nous pour discuter des options disponibles."
Y a-t-il des plats qui peuvent être préparés sans gluten ni lactose ?,"Oui, nous pouvons personnaliser certains plats pour qu'ils soient sans gluten et sans lactose."
Avez-vous des options de plats pour les personnes souffrant de maladies cœliaques ?,"Oui, nous avons des plats spécialement conçus pour les personnes atteintes de la maladie cœliaque, avec une préparation sans gluten."
Est-ce que vous avez des plats de saison au menu ?,"Oui, nous proposons des plats qui varient en fonction des saisons pour mettre en valeur les ingrédients les plus frais et de saison."
